Name,Category,Reinforcement,Damage,Damage Reduction,Aux Effects,Stat Requirements,Stat Bonuses,Critical,Weight,Stability,Durability,Sell Price,Spell Buff,Range,Buffable,Infusable
Fist,Fists,Regular,20/0/0/0/0,0/0/0/0/0,0/0/0,0/0/0/0,-/-/-/-,100,0.0,0,0,0.0,0.0,0.0,No,No
Dragonhead Shield,Small Shields,Boss,116/0/12/0/0,70/65/90/35/55,0/0/0,12/0/11/12,D/-/E/E,100,4.5,40,85,500.0,0.0,0.0,Yes,No
Dragonhead Greatshield,Greatshields,Boss,145/0/0/0/0,100/55/90/30/55,0/0/0,35/0/0/15,D/-/-/E,100,18.0,60,150,500.0,0.0,0.0,Yes,No
White Birch Bow,Bows,Unique,82/0/0/0/0,-/-/-/-/-,0/0/0,8/20/0/0,E/D/-/-,100,2.5,-,50,300.0,0.0,49.0,No,No
Preacher's Right Arm,Staves,Unique,109/0/0/0/0,25/20/10/10/15,0/0/0,12/0/14/0,E/-/A/-,100,2.0,10,50,300.0,229.0,0.0,No,No
Sacred Chime of Filianore,Chimes,Unique,74/0/0/0/0,25/15/10/10/15,0/0/0,4/0/0/18,E/-/-/C,100,0.5,10,50,300.0,200.0,0.0,No,No
Ringed Knight Spear,Pikes,Unique,126/0/12/0/0,45/30/20/20/30,0/0/0,15/17/0/0,D/D/E/E,100,9.0,25,90,800.0,0.0,0.0,No,No
Ledo's Great Hammer,Great Hammers,Unique,170/0/0/0/0,85/55/60/55/55,0/0/0,60/0/0/0,B/-/-/-,100,28.0,50,310,1000.0,0.0,0.0,No,No
Crucifix of the Mad King,Halberds,Unique,124/0/0/0/74,45/30/25/25/30,0/0/0,19/0/10/14,D/-/E/D,100,12.0,25,80,800.0,0.0,0.0,Yes,No
Giant Door Shield,Greatshields,Regular,107/0/0/0/0,100/75/45/80/75,0/0/0,45/0/0/0,C/-/-/-,100,21.5,60,150,500.0,0.0,0.0,Yes,Yes
Lothric War Banner,Pikes,Regular,100/0/0/0/0,40/25/20/20/25,0/0/0,14/14/0/0,D/D/-/-,100,5.0,20,70,500.0,0.0,0.0,Yes,Yes
Repeating Crossbow,Crossbows,Boss,77/0/0/0/0,0/0/0/0/0,0/0/0,16/20/0/0,-/-/-/-,100,7.5,-,20,1000.0,0.0,49.0,No,No
Gael's Greatsword,Greatswords,Boss,147/0/0/0/0,50/35/30/30/35,0/0/0,19/13/0/0,C/D/-/-,100,9.0,40,55,2000.0,0.0,0.0,No,No
Frayed Blade,Katanas,Boss,101/0/0/0/41,45/25/30/15/40,0/34/0,11/40/0/0,E/B/-/-,100,8.0,30,20,1500.0,0.0,0.0,No,No
Ringed Knight Paired Greatswords,Ultra Greatswords,Unique,185/0/11/0/0,50/40/35/35/40,0/0/0,40/15/0/0,C/E/E/E,100,22.5,40,90,1000.0,0.0,0.0,No,No
Ringed Knight Straight Sword,Straight Swords,Unique,120/0/11/0/0,45/30/25/25/30,0/0/0,17/15/0/0,C/D/E/E,100,4.5,30,70,800.0,0.0,0.0,No,No
